,id,probe_insertion,x,y,z,depth,theta,phi,roll,provenance,probe_name,coordinate_system,datetime,json,subject,start_time,number,lab,task_protocol
286,fa704052-147e-46f6-b190-a65b837e605e,00a824c0-e060-495f-9ebc-79c82fef4c67,-1358.06954594537,-3015.07374793266,107.0,4206.35238911934,12.9135154965385,161.906316445971,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-26T14:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
253,fa704052-147e-46f6-b190-a65b837e605e,7791ee46-5c13-4d1b-8518-5602dcb8666b,-1337.2,-3727.4,-95.7,5402.9,10.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-26T14:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
256,034e726f-b35f-41e0-8d6c-a22cc32391fb,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,-713.0,-263.2,-345.2,6365.9,10.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-24T14:41:02,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
238,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,53b58cc3-8d88-4257-aa63-48da088f2091,-1402.49728540212,-431.282066141953,-218.0,6838.51633793073,10.271943062516,40.4650830860794,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
251,fa704052-147e-46f6-b190-a65b837e605e,00a824c0-e060-495f-9ebc-79c82fef4c67,-1300.0,-3000.0,-92.0,4000.0,15.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-26T14:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
405,46794e05-3f6a-4d35-afb3-9165091a5a74,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,884.913019052931,-6012.63605750716,-643.0,6496.69679698737,11.2653352589859,23.3870352070481,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-27T15:12:57,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
815,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,53b58cc3-8d88-4257-aa63-48da088f2091,-1451.6680219618,-381.269047835213,-243.0,7002.39766953136,10.3068723326938,45.0156638549627,0.0,Ephys aligned histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
269,7939711b-8b4d-4251-b698-b97c1eaa846e,ded742e5-23bd-4b5f-8003-58f2eda02bcf,1112.4,-6136.0,-1085.0,4414.2,15.0,180.0,0.0,Micro-manipulator,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-28T10:07:18,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
267,7939711b-8b4d-4251-b698-b97c1eaa846e,e070023a-2a5d-4398-ad66-f9ed5d517ad1,1720.0,-5621.0,-1104.8,5305.8,10.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-28T10:07:18,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
266,7939711b-8b4d-4251-b698-b97c1eaa846e,e070023a-2a5d-4398-ad66-f9ed5d517ad1,1720.0,-5750.0,-1122.0,5606.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-28T10:07:18,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
264,46794e05-3f6a-4d35-afb3-9165091a5a74,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,802.0,-5743.0,-759.1,7591.1,10.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-27T15:12:57,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
257,034e726f-b35f-41e0-8d6c-a22cc32391fb,8fbfa285-d721-4a1a-8c18-f36652c17909,-2704.0,-2000.0,-312.0,4000.0,15.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-24T14:41:02,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
520,7939711b-8b4d-4251-b698-b97c1eaa846e,ded742e5-23bd-4b5f-8003-58f2eda02bcf,1328.85497659074,-6480.93352085024,-968.0,4863.8159304484,9.31942978836432,163.656431999247,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-28T10:07:18,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
263,46794e05-3f6a-4d35-afb3-9165091a5a74,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,787.0,-5750.0,-741.0,6042.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-27T15:12:57,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
262,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,53b58cc3-8d88-4257-aa63-48da088f2091,-1346.2,-260.8,-223.4,6665.2,10.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
261,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,53b58cc3-8d88-4257-aa63-48da088f2091,-1300.0,-250.0,-265.0,6525.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
260,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,-2247.0,-2019.8,-457.4,3702.0,15.0,180.0,0.0,Micro-manipulator,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
259,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,-2243.0,-2000.0,-169.0,4000.0,15.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
258,034e726f-b35f-41e0-8d6c-a22cc32391fb,8fbfa285-d721-4a1a-8c18-f36652c17909,-2739.5,-2028.9,-655.1,3785.0,15.0,180.0,0.0,Micro-manipulator,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-24T14:41:02,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
265,7939711b-8b4d-4251-b698-b97c1eaa846e,ded742e5-23bd-4b5f-8003-58f2eda02bcf,1370.0,-6000.0,-932.0,4000.0,15.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-28T10:07:18,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
254,fa704052-147e-46f6-b190-a65b837e605e,7791ee46-5c13-4d1b-8518-5602dcb8666b,-1300.0,-3750.0,-51.0,5050.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL045,2020-02-26T14:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
345,fa704052-147e-46f6-b190-a65b837e605e,7791ee46-5c13-4d1b-8518-5602dcb8666b,-1635.92045579847,-3689.63299999029,-43.0000000000001,5632.75570304109,8.22195270540028,42.003814710194,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-26T14:48:55,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
176,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,-2187.07157307339,-2273.88657188716,-93.0,4004.44488933996,9.32882262822128,173.534314591964,0.0,Histology track,probe00,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
119,034e726f-b35f-41e0-8d6c-a22cc32391fb,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,-932.002993161581,-410.157704484324,-218.0,6586.98132310649,10.6236112509427,38.7523591266575,0.0,Histology track,probe01,IBL-Allen,2020-06-09T07:59:14.315700,,CSHL045,2020-02-24T14:41:02,1.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
1107,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,-2180.65841154643,-2275.54497226072,-93.0,3543.1059798014,9.01870552684361,174.110216556339,0.0,Ephys aligned histology track,probe00,IBL-Allen,2020-06-12T18:40:22.504055,"{'2020-06-12T10:40:22_noam.roth': [[-1.0024318990970096, 0.0011633110455588332, 0.0014109282202556537, 0.0016366968207145191, 0.001847899705014749, 0.0025324883644706653, 0.0026271655195018026, 0.0029985912815470336, 0.0032826227466404463, 1.004291701730939], [-1.039913400982308, 0.0014619082268110262, 0.0016803939691904294, 0.0018925485595233595, 0.0020030243709155187, 0.0027510828062245326, 0.0029842429641370343, 0.0033190370370370344, 0.00362564656065302, 1.0422332175150477]]}",CSHL045,2020-02-25T09:53:24,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.2.5
1155,c94463ed-57da-4f02-8406-46f2f03924f3,96bfe790-37a6-45da-aa30-e271c9ce68e6,2222.4,-2023.8,-106.0,3831.4,15.0,0.0,0.0,Histology track,probe00,,2020-06-19T00:44:55.716972,,CSHL046,2020-06-18T18:36:17,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1168,150f92bc-e755-4f54-96c1-84e1eaf832b4,1f520b36-78cf-4503-bfb8-7e4496ddbd87,420.0,1669.5,-701.8,5717.5,17.0,0.0,0.0,Micro-manipulator,probe01,,2020-06-20T19:34:24.647917,,CSHL046,2020-06-20T13:31:47,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1147,c94463ed-57da-4f02-8406-46f2f03924f3,96bfe790-37a6-45da-aa30-e271c9ce68e6,2243.0,-2000.0,-169.0,3800.0,15.0,0.0,0.0,Planned,probe00,,2020-06-19T00:44:55.715017,,CSHL046,2020-06-18T18:36:17,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1167,150f92bc-e755-4f54-96c1-84e1eaf832b4,1f520b36-78cf-4503-bfb8-7e4496ddbd87,464.0,1750.0,-884.0,5774.0,17.0,0.0,0.0,Planned,probe01,,2020-06-20T19:34:24.646003,,CSHL046,2020-06-20T13:31:47,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1166,150f92bc-e755-4f54-96c1-84e1eaf832b4,f6bd3ba7-2b98-4e01-ac9b-73e712971797,-2242.2,18.4,-292.2,3707.0,15.0,180.0,0.0,Micro-manipulator,probe00,,2020-06-20T19:33:12.594181,,CSHL046,2020-06-20T13:31:47,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1149,c94463ed-57da-4f02-8406-46f2f03924f3,14e496f3-06c7-465e-b7a7-109d866793a2,-2243.0,-2000.0,-169.0,3800.0,15.0,180.0,0.0,Planned,probe01,,2020-06-19T00:44:00.461305,,CSHL046,2020-06-18T18:36:17,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1150,c94463ed-57da-4f02-8406-46f2f03924f3,14e496f3-06c7-465e-b7a7-109d866793a2,-2218.0,-1773.7,-179.2,4012.0,15.0,180.0,0.0,Micro-manipulator,probe01,,2020-06-19T00:44:00.464264,,CSHL046,2020-06-18T18:36:17,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
1165,150f92bc-e755-4f54-96c1-84e1eaf832b4,f6bd3ba7-2b98-4e01-ac9b-73e712971797,-2243.0,0.0,-598.0,4000.0,15.0,180.0,0.0,Planned,probe00,,2020-06-20T19:33:12.589612,,CSHL046,2020-06-20T13:31:47,2.0,churchlandlab,_iblrig_tasks_ephysChoiceWorld6.4.0
